,Time,TimeRedundant,X,Y,Z
0,1524423364.862133,1524423364.862133,198.711273,-93.127808,-62.212112
1,1524423364.88254,1524423364.88254,199.310608,-93.279816,-62.0681
2,1524423364.882575,1524423364.882575,198.934998,-93.279602,-61.46434
3,1524423364.902962,1524423364.902962,199.46125800000002,-92.83161899999999,-61.169601
4,1524423364.903017,1524423364.903017,199.16009499999998,-93.354721,-61.841599
5,1524423364.923394,1524423364.923394,200.661255,-92.984421,-61.706604000000006
6,1524423364.9234462,1524423364.9234462,199.235641,-93.204941,-61.842346
7,1524423364.943866,1524423364.943866,199.16163600000002,-92.979385,-62.066605
8,1524423364.943919,1524423364.943919,198.636124,-93.127808,-62.061356
9,1524423364.9642081,1524423364.9642081,198.860764,-93.27825899999999,-62.213607999999994
10,1524423364.964352,1524423364.964352,198.48526,-93.352478,-61.984848
11,1524423364.984597,1524423364.984597,198.860748,-93.129044,-61.688598999999996
12,1524423364.9846811,1524423364.9846811,199.459686,-93.430832,-61.69459499999999
13,1524423365.005228,1524423365.005228,199.010254,-93.354034,-61.990097
14,1524423365.00531,1524423365.00531,199.236008,-93.055161,-61.692352
15,1524423365.025537,1524423365.025537,199.161301,-93.054489,-61.99160799999999
16,1524423365.025618,1524423365.025618,199.53637700000002,-92.906281,-61.545364
17,1524423365.046056,1524423365.046056,198.935898,-93.129044,-61.839355000000005
18,1524423365.046133,1524423365.046133,199.31063799999998,-93.20517,-61.843093999999994
19,1524423365.066493,1524423365.066493,199.235001,-93.429703,-61.992355
20,1524423365.0665689,1524423365.0665689,199.31002800000002,-93.35526999999999,-61.768097
21,1524423365.08687,1524423365.08687,199.008911,-93.65448,-61.690079000000004
22,1524423365.0869439,1524423365.0869439,199.159836,-93.42971800000001,-61.841599
23,1524423365.1070971,1524423365.1070971,198.784698,-93.57803299999999,-62.212844999999994
24,1524423365.107168,1524423365.107168,198.559326,-93.577927,-61.835587
25,1524423365.127413,1524423365.127413,198.560104,-93.352921,-61.835602
26,1524423365.127487,1524423365.127487,199.009659,-93.50415,-61.915085
27,1524423365.14783,1524423365.14783,198.859848,-93.428818,-61.838593
28,1524423365.147881,1524423365.147881,199.31041000000002,-93.205505,-61.618103000000005
29,1524423365.168471,1524423365.168471,199.384842,-93.430389,-61.843842
30,1524423365.1685462,1524423365.1685462,199.460709,-93.205505,-61.919601
31,1524423365.1887481,1524423365.1887481,199.60966499999998,-93.505936,-61.921096999999996
32,1524423365.188825,1524423365.188825,199.91037,-93.431168,-62.3741
33,1524423365.209367,1524423365.209367,199.235794,-93.204712,-61.992355
34,1524423365.209651,1524423365.209651,199.310181,-93.35505699999999,-61.918091000000004
35,1524423365.229648,1524423365.229648,199.53514099999998,-93.430389,-62.145340000000004
36,1524423365.229722,1524423365.229722,199.534988,-93.430603,-61.995346
37,1524423365.250117,1524423365.250117,199.236023,-93.204376,-62.217361
38,1524423365.250188,1524423365.250188,199.460251,-93.355377,-61.994597999999996
39,1524423365.270515,1524423365.270515,199.085068,-93.429153,-62.065842
40,1524423365.270667,1524423365.270667,199.0103,-93.428589,-62.2901
41,1524423365.290772,1524423365.290772,198.560791,-93.202698,-61.985611
42,1524423365.2908561,1524423365.2908561,198.63591,-93.27735899999999,-62.361359
43,1524423365.311582,1524423365.311582,198.63601699999998,-93.202591,-62.211349
44,1524423365.311653,1524423365.311653,199.160065,-93.429367,-62.066589
45,1524423365.3323119,1524423365.3323119,199.084778,-93.578812,-62.290848
46,1524423365.3323472,1524423365.3323472,199.235947,-93.204498,-62.142348999999996
47,1524423365.3520038,1524423365.3520038,198.635941,-93.202713,-62.136353
48,1524423365.3520381,1524423365.3520381,198.860123,-93.503036,-62.363602
49,1524423365.372217,1524423365.372217,198.636276,-93.12759399999999,-62.211349
50,1524423365.372253,1524423365.372253,198.63601699999998,-93.202591,-62.211349
51,1524423365.3937712,1524423365.3937712,198.861099,-93.203156,-62.288605000000004
52,1524423365.393806,1524423365.393806,199.085815,-93.12960799999999,-61.765854000000004
53,1524423365.413243,1524423365.413243,199.23584,-93.279251,-62.29235799999999
54,1524423365.413316,1524423365.413316,199.23533600000002,-93.354599,-62.067352
55,1524423365.433593,1524423365.433593,199.16153,-93.054153,-62.216614
56,1524423365.433753,1524423365.433753,199.011002,-93.054489,-61.690109
57,1524423365.45409,1524423365.45409,199.08638,-92.904938,-61.540863
58,1524423365.454163,1524423365.454163,198.861694,-92.903824,-61.838607999999994
59,1524423365.47467,1524423365.47467,198.859955,-93.20483399999999,-61.163589
60,1524423365.474743,1524423365.474743,198.786026,-92.979156,-61.46286
61,1524423365.494816,1524423365.494816,198.711151,-93.053375,-61.837112
62,1524423365.494889,1524423365.494889,198.26033,-93.053268,-61.007599
63,1524423365.515193,1524423365.515193,198.259995,-93.128372,-60.932587
64,1524423365.515265,1524423365.515265,198.259628,-93.278152,-61.082595999999995
65,1524423365.5356119,1524423365.5356119,198.10974099999999,-93.202927,-60.931091
66,1524423365.5356839,1524423365.5356839,198.034576,-93.20294200000001,-60.780333999999996
67,1524423365.555993,1524423365.555993,198.40948500000002,-93.054947,-60.184082
68,1524423365.55608,1524423365.55608,198.634949,-92.905731,-60.111343000000005
69,1524423365.576437,1524423365.576437,198.409119,-93.055511,-59.809082
70,1524423365.576508,1524423365.576508,198.483795,-93.130844,-59.734832999999995
71,1524423365.596915,1524423365.596915,198.55908200000002,-93.130615,-60.035582999999995
72,1524423365.5969849,1524423365.5969849,198.33345,-93.205505,-59.658325
73,1524423365.617193,1524423365.617193,198.632996,-93.207092,-59.211318999999996
74,1524423365.617266,1524423365.617266,198.633698,-92.98219300000001,-59.136337
75,1524423365.637783,1524423365.637783,199.007767,-93.20854200000001,-58.990081999999994
76,1524423365.637857,1524423365.637857,198.782043,-93.432739,-59.062819999999995
77,1524423365.658095,1524423365.658095,198.857803,-93.133423,-58.763565
78,1524423365.658168,1524423365.658168,198.706924,-93.35809300000001,-58.687056999999996
79,1524423365.678576,1524423365.678576,198.556595,-93.432739,-58.610565
80,1524423365.678649,1524423365.678649,198.63176,-93.283539,-58.236313
81,1524423365.69869,1524423365.69869,198.48317,-92.982529,-58.609832999999995
82,1524423365.698762,1524423365.698762,198.632767,-93.058212,-58.461318999999996
83,1524423365.719201,1524423365.719201,199.307175,-93.210327,-58.393066000000005
84,1524423365.719274,1524423365.719274,199.456985,-93.28566,-58.469559
85,1524423365.739613,1524423365.739613,199.457169,-93.21077,-58.394562
86,1524423365.739685,1524423365.739685,199.23146100000002,-93.43498199999999,-58.467316000000004
87,1524423365.760034,1524423365.760034,199.531631,-93.36099200000001,-58.395309
88,1524423365.760106,1524423365.760106,199.530853,-93.585999,-58.395309
89,1524423365.78142,1524423365.78142,199.756195,-93.511551,-58.472549
90,1524423365.781497,1524423365.781497,199.681198,-93.51132199999999,-58.471802000000004
91,1524423365.801255,1524423365.801255,199.82991,-93.812119,-58.248291
92,1524423365.801331,1524423365.801331,199.980972,-93.512558,-58.249802
93,1524423365.8212981,1524423365.8212981,200.055969,-93.512787,-58.250565
94,1524423365.821336,1524423365.821336,199.905746,-93.66188000000001,-58.549057
95,1524423365.841462,1524423365.841462,199.905365,-93.66244499999999,-58.17404200000001
96,1524423365.84155,1524423365.84155,199.67976399999998,-93.81189,-58.096786
97,1524423365.861916,1524423365.861916,200.13093600000002,-93.587677,-58.476303
98,1524423365.861974,1524423365.861974,200.131012,-93.58755500000001,-58.5513
99,1524423365.8824608,1524423365.8824608,200.430679,-93.663574,-58.479293999999996
100,1524423365.882536,1524423365.882536,200.204498,-94.03765899999999,-58.627044999999995
101,1524423365.9027278,1524423365.9027278,200.65438799999998,-93.964584,-58.25654599999999
102,1524423365.902787,1524423365.902787,200.804504,-93.890244,-58.108031999999994
103,1524423365.92293,1524423365.92293,200.730972,-93.514801,-58.257309
104,1524423365.923006,1524423365.923006,200.579651,-93.889359,-58.255798
105,1524423365.9435,1524423365.9435,200.20521499999998,-93.663574,-58.027039
106,1524423365.943703,1524423365.943703,200.35656699999998,-93.363571,-58.328552
107,1524423365.964012,1524423365.964012,200.130814,-93.66244499999999,-58.626312
108,1524423365.9640882,1524423365.9640882,200.05545,-93.66278100000001,-58.250549
109,1524423365.9843779,1524423365.9843779,199.231674,-93.434647,-58.69230699999999
110,1524423365.984474,1524423365.984474,199.156448,-93.43476899999999,-58.466553000000005
111,1524423366.004766,1524423366.004766,199.156586,-93.43454,-58.616562
112,1524423366.004842,1524423366.004842,198.931747,-93.43364,-58.764313
113,1524423366.025187,1524423366.025187,198.78096000000002,-93.508972,-58.237807999999994
114,1524423366.02526,1524423366.02526,199.08201599999998,-93.209885,-58.240814
115,1524423366.045583,1524423366.045583,198.85788,-92.9841,-58.313568000000004
116,1524423366.045663,1524423366.045663,198.708099,-92.834106,-58.012069999999994
117,1524423366.065956,1524423366.065956,198.258514,-92.757538,-58.157578
118,1524423366.066036,1524423366.066036,198.18336499999998,-92.757538,-58.006820999999995
119,1524423366.086358,1524423366.086358,197.884079,-92.531754,-57.928833
120,1524423366.086433,1524423366.086433,197.734116,-92.60585,-58.227341
121,1524423366.1068711,1524423366.1068711,197.359634,-92.305527,-57.698593
122,1524423366.106946,1524423366.106946,196.759598,-92.378403,-57.917587
123,1524423366.1272051,1524423366.1272051,196.610687,-92.003281,-57.691101
124,1524423366.12728,1524423366.12728,196.68576000000002,-92.003403,-57.766845999999994
125,1524423366.147512,1524423366.147512,195.93678300000002,-91.775818,-57.984359999999995
126,1524423366.147593,1524423366.147593,195.487305,-91.624481,-57.979874
127,1524423366.168006,1524423366.168006,195.411545,-91.774597,-57.754105
128,1524423366.168084,1524423366.168084,195.33789099999998,-91.623138,-58.578368999999995
129,1524423366.188441,1524423366.188441,195.113251,-91.39814799999999,-58.126129000000006
130,1524423366.188516,1524423366.188516,195.563385,-91.250046,-57.755630000000004
131,1524423366.2087722,1524423366.2087722,195.03860500000002,-91.248138,-57.975372
132,1524423366.208846,1524423366.208846,195.188385,-91.248932,-57.751877
133,1524423366.229157,1524423366.229157,195.11369299999998,-91.248245,-58.051131999999996
134,1524423366.2292302,1524423366.2292302,194.96371499999998,-91.17315699999999,-57.824631000000004
135,1524423366.249579,1524423366.249579,194.813614,-91.247467,-57.97312900000001
136,1524423366.249655,1524423366.249655,194.813492,-91.173035,-57.59812900000001
137,1524423366.2704039,1524423366.2704039,194.96319599999998,-91.323151,-57.824631000000004
138,1524423366.270498,1524423366.270498,195.18866,-91.323151,-58.276886
139,1524423366.29071,1524423366.29071,194.813583,-91.322144,-58.198135
140,1524423366.2907481,1524423366.2907481,194.739151,-91.09725999999999,-57.972381999999996
141,1524423366.310756,1524423366.310756,194.514023,-91.171356,-58.120132
142,1524423366.3107948,1524423366.3107948,194.513687,-91.24646,-58.045134999999995
143,1524423366.3309429,1524423366.3309429,195.038422,-91.323029,-58.050385
144,1524423366.330994,1524423366.330994,195.189148,-91.098602,-57.976882999999994
145,1524423366.351285,1524423366.351285,195.563614,-91.100494,-57.455627
146,1524423366.351312,1524423366.351312,195.413345,-91.324265,-57.979126
147,1524423366.3715131,1524423366.3715131,195.412094,-91.549942,-57.529114
148,1524423366.371559,1524423366.371559,195.263916,-91.099152,-57.75264
149,1524423366.393424,1524423366.393424,195.63771100000002,-91.400497,-57.606368999999994
150,1524423366.393492,1524423366.393492,195.487717,-91.40005500000001,-57.604874
151,1524423366.412427,1524423366.412427,195.86308300000002,-91.251389,-57.458633
