Time,gX,gY,gZ,aX,aY,aZ,mX,mY,mZ
1525657231.84,0.000807,-0.025575999999999998,-0.015976,-0.073425,0.988846,0.154388,14.518951,53.262466,-329.274445
1525657231.86,0.019098,-0.016066,-0.005556,-0.08342000000000001,0.991257,0.158157,14.518432999999998,53.112686,-329.423615
1525657231.89,0.0021030000000000003,0.008519,-0.0042829999999999995,-0.084763,0.981384,0.148605,14.521439,53.71315,-329.726898
1525657231.9,-0.00536,0.005353,-0.003127,-0.074371,0.978104,0.13797,14.221085,53.637253,-329.727386
1525657231.92,0.000867,-0.02238,-0.011719,-0.072983,0.983353,0.142181,14.519104,53.262695,-329.424438
1525657231.94,-0.008739,-0.019142,-0.012666,-0.080307,0.989899,0.14978,14.368835,53.187363,-329.499481
1525657231.96,-0.005528,-0.009563,-0.013769,-0.079712,0.981735,0.156097,14.519775,53.412689,-329.4252620000001
1525657231.98,0.0060609999999999995,-0.010672,-0.025619,-0.08175700000000001,0.983398,0.148056,14.296509,53.712601,-329.802582
1525657232.0,0.005164,-0.016004,-0.010707,-0.073456,0.991165,0.14416500000000002,14.21933,53.262131,-329.6503600000001
1525657232.02,-0.007387,-0.004235,0.007541,-0.069,0.98642,0.142273,14.295868,53.637146,-329.502167
1525657232.04,-0.0032359999999999997,-0.035160000000000004,0.004296,-0.073135,0.981262,0.12956199999999998,14.594696,53.412811,-329.350037
1525657232.06,-0.0013189999999999999,-0.085258,-0.00318,-0.07034299999999999,0.975281,0.131851,14.668686,53.188034,-329.3485720000001
1525657232.08,-0.001285,-0.07673200000000001,-0.0021149999999999997,-0.070953,0.979736,0.162552,14.218765,53.186798,-329.424927
1525657232.12,-0.001059,0.0032020000000000004,1.3000000000000001e-05,-0.090591,0.985016,0.167694,13.995377,53.56101999999999,-329.352661
1525657232.14,-0.006587999999999999,0.024551,-0.020141,-0.087524,0.981934,0.149841,14.295975,53.71180699999999,-329.277588
1525657232.16,-0.010929000000000001,0.005385,-0.022218,-0.07788099999999999,0.980927,0.129135,14.518616,53.18746899999999,-329.274048
1525657232.18,-0.016186000000000002,-0.005254,-0.013638999999999998,-0.073212,0.984573,0.141251,14.218765,53.186798,-329.424927
1525657232.2,-0.011769,0.007513,-0.004113,-0.071518,0.986206,0.160522,14.295792,53.637024,-329.427185
1525657232.22,-0.026647000000000004,0.015035,-0.0007379999999999999,-0.071762,0.975159,0.144623,14.521133,53.712708,-329.42691
1525657232.24,-0.01463,0.012842,0.022531,-0.072418,0.986923,0.13172899999999998,14.44606,53.712372,-329.352142
1525657232.26,-0.070715,-0.00186,0.063662,-0.060852,0.973816,0.097961,14.518646,53.262024,-328.974426
1525657232.28,-0.116875,0.039878,0.119575,-0.051346,0.977982,0.157471,14.368195000000002,53.11190799999999,-329.199066
1525657232.3,-0.144449,0.079427,0.12523499999999999,-0.08265700000000001,0.984085,0.184036,14.292938,53.036789,-329.2738950000001
1525657232.32,-0.076378,0.142035,0.09460199999999999,-0.096176,0.967194,0.213791,14.067856,53.036011,-329.199554
1525657232.34,-0.013456000000000001,0.10126399999999999,0.100217,-0.115158,1.030014,0.162369,14.068604,53.186111,-329.275391
1525657232.36,-0.078766,0.223063,0.057380999999999995,-0.13118,0.960861,0.159866,13.768295000000002,53.184769,-328.976257
1525657232.38,-0.077751,0.23371999999999998,0.050983,-0.1073,1.012466,0.1315,13.690704,52.659195,-328.748596
1525657232.4,-0.071797,0.13462000000000002,-0.052336,-0.100876,0.993759,0.135849,13.691315,52.660095,-329.348602
1525657232.41,-0.05651000000000001,0.06742999999999999,-0.097228,-0.095047,0.974991,0.14562999999999998,13.691726999999998,52.735214,-329.424042
1525657232.42,-0.059132000000000004,0.049338,-0.133384,-0.095215,0.966385,0.154877,13.61676,52.80954000000001,-329.124634
1525657232.44,-0.121174,0.096585,-0.329531,-0.159531,0.807434,0.151398,13.618942,53.259781,-329.27713
1525657232.45,-0.17935299999999998,0.13945,-0.296887,-0.151382,0.878403,0.134216,13.694610999999998,53.410004,-329.27774
1525657232.47,-0.136008,0.338527,-0.196297,-0.068497,1.068558,0.189545,14.218643,53.261124,-328.975342
1525657232.48,-0.10721099999999999,0.272319,-0.183879,-0.023666,1.065079,0.133026,13.919586,53.336121,-329.57663
1525657232.49,-0.107367,0.131626,-0.167916,0.018265,1.028381,0.078552,14.517822,52.962799,-329.497772
1525657232.51,-0.084856,-0.145648,-0.015996,0.078445,1.00502,0.110992,14.21759,52.961563,-329.273712
1525657232.53,-0.022088999999999998,-0.241956,0.249323,0.05455,1.0196379999999998,0.182632,13.993866,53.260788,-329.201019
1525657232.55,-0.074087,-0.219362,0.268054,-0.018677000000000003,0.952545,0.186432,13.843001999999998,53.18454000000001,-328.676056
1525657232.57,-0.109901,-0.159497,0.206761,-0.06626900000000001,0.959793,0.201614,14.215485,52.660431,-328.522064
1525657232.59,-0.083636,-0.093546,0.246887,-0.07394400000000001,1.002106,0.20648200000000005,13.764618,52.434311,-328.67215
1525657232.61,-0.06079,-0.073407,0.278539,-0.110855,0.996918,0.181992,13.31311,52.132721,-328.521851
1525657232.63,-0.057726,-0.049964999999999996,0.26253699999999996,-0.18811,0.978394,0.165283,13.388794,52.28295900000001,-328.522461
1525657232.65,-0.098084,0.11865099999999999,0.1566,-0.21627800000000005,0.955002,0.170502,13.313644,52.282501,-328.37265
1525657232.67,-0.178625,0.294887,0.078828,-0.145081,0.960373,0.163025,12.937729,52.131042,-328.14798
1525657232.69,-0.216822,0.274789,0.10058099999999999,0.001541,0.990295,0.177551,12.936722,51.906036,-328.146759
