Time,gX,gY,gZ,aX,aY,aZ,mX,mY,mZ
1524374951.89,0.022395,-0.015719,0.021485,-0.153976,-0.99292,-0.041153,186.260788,-73.282898,-67.26260400000001
1524374951.91,0.02117,-0.009343,0.030060000000000007,-0.159439,-0.992004,-0.03244,186.186096,-73.20755,-67.33686800000001
1524374951.93,0.013619,-0.006222,0.033229,-0.154572,-0.989014,-0.033844,186.335922,-73.282883,-67.413361
1524374951.95,0.00944,-0.015831,0.033157,-0.159119,-0.993698,-0.038528,186.261154,-73.282333,-67.63760400000001
1524374951.97,0.005261999999999999,-0.02544,0.033085,-0.166489,-0.989868,-0.037125,186.486099,-73.20845,-67.33985899999999
1524374951.99,0.0063100000000000005,-0.019054,0.028842000000000007,-0.16835,-0.991104,-0.043976,186.111328,-73.206985,-67.561111
1524374952.02,0.016166,-0.028541000000000007,0.016036,-0.16716,-0.990112,-0.042007,186.260559,-73.283234,-67.03761300000001
1524374952.04,0.020421,-0.026374,0.016076,-0.157486,-0.988312,-0.03656,186.186356,-73.132553,-67.33686800000001
1524374952.06,0.02351,-0.011462,0.012954,-0.168747,-0.989883,-0.031555,185.885788,-73.281769,-67.25885
1524374952.08,0.023478,-0.005086,0.009773,-0.16449,-0.992035,-0.039307,186.110535,-73.43199200000002,-67.56109599999999
1524374952.1,0.021512,-0.027428,0.01501,-0.15448,-0.9944,-0.038239,186.035431,-73.50653100000002,-67.710358
1524374952.12,0.014103,-0.041315,0.021314,-0.166046,-0.988144,-0.033707,185.960846,-73.281876,-67.33461
1524374952.14,0.012968,-0.032821,0.019204,-0.167511,-0.992569,-0.030319,185.960846,-73.281876,-67.33461
1524374952.16,0.010709,-0.023272,0.021368,-0.165329,-0.989853,-0.031508999999999995,185.960846,-73.281876,-67.33461
1524374952.18,0.007456999999999998,-0.023299,0.025623000000000003,-0.166809,-0.991089,-0.028854,186.035629,-73.28244000000002,-67.110352
1524374952.2,0.005286,-0.019067,0.024556,-0.161209,-0.990799,-0.028305,186.111847,-73.05699200000002,-67.561111
1524374952.22,0.005189,-0.002063,0.017141999999999998,-0.169708,-0.98793,-0.034241,186.110992,-73.282104,-67.486099
1524374952.24,0.005257,5.7e-05,0.008595,-0.173752,-0.988464,-0.042557,185.811356,-73.131424,-67.333115
1524374952.26,0.006544,-0.022258,0.009577,-0.166901,-0.987167,-0.045166000000000005,186.185684,-73.43199200000002,-67.711853
1524374952.28,0.009905,-0.038174,0.010602,-0.172104,-0.989914,-0.035477,185.885361,-73.50621,-67.63385
1524374952.3,0.011869,-0.017956,0.007495,-0.17991600000000002,-0.989258,-0.035552999999999994,185.886078,-73.281326,-67.558853
1524374952.32,0.01617,-0.013668,0.001127,-0.165054,-0.990585,-0.033707,185.736328,-73.205872,-67.557358
1524374952.34,0.015112,-0.013678999999999998,4.9e-05,-0.16328399999999998,-0.991791,-0.037582,185.735275,-73.505875,-67.557343
1524374952.36,0.009874,-0.024361,-3.5e-05,-0.16301,-0.991776,-0.040512,185.886856,-73.05632,-67.558868
