,Time,TimeRedundant,X,Y,Z
0,1525629205.464847,1525629205.464847,42.109711,60.817886,-361.03320299999996
1,1525629205.464884,1525629205.464884,41.956177000000004,60.067184,-360.879547
2,1525629205.484498,1525629205.484498,42.183547999999995,60.59288000000001,-360.88174399999997
3,1525629205.484533,1525629205.484533,42.106598,60.142745999999995,-360.954498
4,1525629205.504199,1525629205.504199,41.656859999999995,60.21629300000001,-360.881256
5,1525629205.50441,1525629205.50441,42.107758000000004,60.36798100000001,-361.105743
6,1525629205.5239599,1525629205.5239599,41.880584999999996,59.91706800000001,-360.95391800000004
7,1525629205.5239868,1525629205.5239868,42.033691,60.592651000000004,-361.032196
8,1525629205.543778,1525629205.543778,41.955994,59.992416000000006,-361.029144
9,1525629205.5438411,1525629205.5438411,41.807617,60.366852,-360.956635
10,1525629205.563375,1525629205.563375,41.958359,60.517426,-361.032013
11,1525629205.563518,1525629205.563518,41.806671,60.141968000000006,-361.030396
12,1525629205.583176,1525629205.583176,42.03302,60.442642000000006,-361.03137200000003
13,1525629205.583845,1525629205.583845,41.957229999999996,60.217757999999996,-361.25537099999997
14,1525629205.602773,1525629205.602773,41.583694,60.591308999999995,-361.033539
15,1525629205.6028368,1525629205.6028368,41.882614000000004,60.367081000000006,-360.95639
16,1525629205.6229901,1525629205.6229901,41.656738,60.141631999999994,-361.105865
17,1525629205.6231349,1525629205.6231349,41.958252,60.442764000000004,-361.256622
18,1525629205.642035,1525629205.642035,41.806259000000004,60.066849,-360.954987
19,1525629205.6420991,1525629205.6420991,41.657684,60.366516000000004,-361.032074
20,1525629205.662035,1525629205.662035,42.03183,60.14286800000001,-361.17971800000004
21,1525629205.662098,1525629205.662098,41.807678,60.366974,-361.031647
22,1525629205.6829019,1525629205.6829019,42.032684,60.367644999999996,-361.030975
23,1525629205.683953,1525629205.683953,42.030884,59.91796899999999,-361.25351
24,1525629205.7068,1525629205.7068,42.033356,60.517654,-361.03179900000003
25,1525629205.706917,1525629205.706917,42.106903,60.143204000000004,-361.25451699999996
26,1525629205.721108,1525629205.721108,41.807755,60.367081000000006,-361.106659
27,1525629205.721216,1525629205.721216,42.033066,60.36821,-361.405975
28,1525629205.745525,1525629205.745525,41.805664,59.916962,-361.029175
29,1525629205.7456381,1525629205.7456381,42.033691,60.592651000000004,-361.032196
30,1525629205.763781,1525629205.763781,42.032913,60.36798100000001,-361.255981
31,1525629205.763855,1525629205.763855,41.657837,60.366744999999995,-361.182068
32,1525629205.785216,1525629205.785216,42.257431,60.293427,-361.104889
33,1525629205.785247,1525629205.785247,41.806671,60.141968000000006,-361.030396
34,1525629205.79926,1525629205.79926,42.034973,60.892548,-360.958832
35,1525629205.799342,1525629205.799342,41.956665,60.14241,-361.029968
36,1525629205.819176,1525629205.819176,41.657532,60.366302000000005,-360.88208
37,1525629205.819214,1525629205.819214,41.882675,60.367188,-361.03140299999995
38,1525629205.8384929,1525629205.8384929,41.957458,60.367081000000006,-360.80618300000003
39,1525629205.838521,1525629205.838521,42.183365,60.518097,-361.031342
40,1525629205.8584108,1525629205.8584108,42.406418,60.068878000000005,-361.10321
41,1525629205.858449,1525629205.858449,42.40712,60.293427,-360.804443
42,1525629205.8780289,1525629205.8780289,42.708405,60.594223,-360.730194
43,1525629205.8780632,1525629205.8780632,42.857803000000004,60.444778,-360.803925
44,1525629205.897774,1525629205.897774,43.009384000000004,60.745575,-361.030121
45,1525629205.897819,1525629205.897819,43.006531,60.145340000000004,-360.876831
46,1525629205.917408,1525629205.917408,43.308945,60.596802000000004,-361.25338700000003
47,1525629205.917449,1525629205.917449,43.531921000000004,60.147476,-361.250275
48,1525629205.937143,1525629205.937143,43.758041,60.447815000000006,-361.026245
49,1525629205.937205,1525629205.937205,44.3582,60.44984399999999,-361.174438
50,1525629205.956907,1525629205.956907,44.656769,60.150619999999996,-361.096924
51,1525629205.956966,1525629205.956966,44.658463,60.525619999999996,-361.098969
52,1525629205.976905,1525629205.976905,45.256332,60.002747,-361.319275
53,1525629205.977017,1525629205.977017,45.031859999999995,60.151855000000005,-361.170776
54,1525629205.9965491,1525629205.9965491,45.181488,60.002747,-361.46954300000004
55,1525629205.996664,1525629205.996664,44.956512,60.07663,-361.170593
56,1525629206.015939,1525629206.015939,44.808319,60.376862,-361.622711
57,1525629206.016138,1525629206.016138,44.506058,59.925613,-361.396118
58,1525629206.035897,1525629206.035897,44.732269,60.226074,-361.247101
59,1525629206.036017,1525629206.036017,45.029861,59.627396,-361.542938
60,1525629206.055435,1525629206.055435,44.955719,59.851958999999994,-361.394348
61,1525629206.055563,1525629206.055563,45.182724,60.228104,-361.69577000000004
62,1525629206.075148,1525629206.075148,45.179611,59.552963,-361.61706499999997
63,1525629206.075258,1525629206.075258,45.258086999999996,60.377869,-361.396332
64,1525629206.094791,1525629206.094791,45.631378000000005,59.929443000000006,-361.69277999999997
65,1525629206.094965,1525629206.094965,45.181335,60.002518,-361.31948900000003
66,1525629206.114735,1525629206.114735,45.557159000000006,60.15387,-361.469269
67,1525629206.1148472,1525629206.1148472,45.256073,59.927856000000006,-361.39386
68,1525629206.134476,1525629206.134476,44.956329,60.00184599999999,-361.32016
69,1525629206.1347349,1525629206.1347349,45.331894,60.07830799999999,-361.54449500000004
70,1525629206.153975,1525629206.153975,44.806137,59.92661999999999,-361.47024500000003
71,1525629206.154093,1525629206.154093,45.256561,60.00308199999999,-361.544312
72,1525629206.173729,1525629206.173729,44.656067,59.926056,-361.39566
73,1525629206.173843,1525629206.173843,44.807571,60.226746,-361.546875
74,1525629206.1930609,1525629206.1930609,44.805206,59.701736,-361.544006
75,1525629206.193182,1525629206.193182,44.656738,60.076065,-361.396484
76,1525629206.2129471,1525629206.2129471,44.807678,60.301407,-361.322266
77,1525629206.21306,1525629206.21306,44.957153000000005,60.152083999999995,-361.471039
78,1525629206.232909,1525629206.232909,44.808502000000004,60.45163,-361.47314500000005
79,1525629206.233022,1525629206.233022,44.657486,60.226181000000004,-361.472351
80,1525629206.252429,1525629206.252429,44.658081,60.376068000000004,-361.398132
81,1525629206.252574,1525629206.252574,44.881896999999995,60.076965,-361.545837
82,1525629206.272132,1525629206.272132,44.431671,60.075287,-361.322144
83,1525629206.272394,1525629206.272394,44.809525,60.676636,-361.474365
84,1525629206.291743,1525629206.291743,44.431168,60.000046,-361.17175299999997
85,1525629206.291894,1525629206.291894,44.208084,60.374725,-361.399475
86,1525629206.3114269,1525629206.3114269,44.432159000000006,60.150513000000004,-361.472626
87,1525629206.311564,1525629206.311564,44.206924,60.14949,-361.24826
88,1525629206.331076,1525629206.331076,44.50824,60.375839,-361.548615
89,1525629206.33124,1525629206.33124,44.281845000000004,60.149612,-361.173004
90,1525629206.350761,1525629206.350761,44.431442,60.074936,-361.097168
91,1525629206.350836,1525629206.350836,44.432037,60.224838,-361.02297999999996
92,1525629206.370374,1525629206.370374,43.983719,60.59849499999999,-361.026367
93,1525629206.370444,1525629206.370444,44.284134,60.6745,-361.100922
94,1525629206.389908,1525629206.389908,43.682021999999996,60.222595,-361.025208
95,1525629206.38998,1525629206.38998,43.834961,60.82338000000001,-361.253082
96,1525629206.40951,1525629206.40951,43.531845000000004,60.14735400000001,-361.17526200000003
97,1525629206.409574,1525629206.409574,43.381531,60.146454000000006,-360.875702
98,1525629206.429184,1525629206.429184,43.457703,60.37191800000001,-361.026703
99,1525629206.429245,1525629206.429245,43.007965000000006,60.44545,-360.953461
100,1525629206.44942,1525629206.44942,42.633972,60.66934200000001,-360.955811
101,1525629206.449532,1525629206.449532,42.707535,60.369445999999996,-360.878967
102,1525629206.468811,1525629206.468811,42.409744,60.893326,-360.732727
103,1525629206.468926,1525629206.468926,42.407532,60.368545999999995,-360.879852
104,1525629206.488502,1525629206.488502,42.108475,60.592544999999994,-360.80697599999996
105,1525629206.488617,1525629206.488617,41.809067,60.74153100000001,-360.733704
106,1525629206.508236,1525629206.508236,41.805618,59.99139399999999,-360.65457200000003
107,1525629206.508354,1525629206.508354,41.508010999999996,60.590073,-360.358765
108,1525629206.528433,1525629206.528433,41.434326,60.81529200000001,-360.660217
109,1525629206.528559,1525629206.528559,40.834091,60.813156000000006,-360.43701200000004
110,1525629206.547514,1525629206.547514,40.983307,60.58894300000001,-360.660339
111,1525629206.54763,1525629206.54763,40.606842,60.362137,-360.210205
112,1525629206.567466,1525629206.567466,40.234085,60.811356,-360.438812
113,1525629206.567577,1525629206.567577,40.23233,60.436249,-360.36175499999996
114,1525629206.586869,1525629206.586869,39.557021999999996,60.433762,-360.06375099999997
115,1525629206.5869892,1525629206.5869892,40.157776,60.585678,-360.137787
116,1525629206.6067731,1525629206.6067731,39.257156,60.43309,-360.21463
117,1525629206.606893,1525629206.606893,39.108703999999996,60.807418999999996,-360.067169
118,1525629206.6261132,1525629206.6261132,38.95694,60.431854,-359.99057
119,1525629206.6262321,1525629206.6262321,38.508697999999995,60.805634,-360.068939
120,1525629206.646077,1525629206.646077,38.507599,60.580521,-359.99273700000003
121,1525629206.6461859,1525629206.6461859,37.682709,60.65271,-359.770599
122,1525629206.665659,1525629206.665659,37.458709999999996,60.877029,-359.772491
123,1525629206.665783,1525629206.665783,37.306121999999995,60.351242000000006,-359.545074
124,1525629206.685195,1525629206.685195,36.781464,60.42466700000001,-359.54702799999995
125,1525629206.685313,1525629206.685313,36.93158,60.499770999999996,-359.321991
126,1525629206.7049038,1525629206.7049038,36.406784,60.49855,-359.548584
127,1525629206.705026,1525629206.705026,36.632278,60.574448,-359.69830299999995
128,1525629206.7246392,1525629206.7246392,36.180434999999996,60.197860999999996,-359.54760699999997
129,1525629206.724758,1525629206.724758,36.032043,60.572311,-359.475098
130,1525629206.744128,1525629206.744128,36.181228999999995,60.422531000000006,-359.323822
131,1525629206.744243,1525629206.744243,35.731215999999996,60.421188,-359.32516499999997
132,1525629206.764457,1525629206.764457,35.731978999999995,60.571304000000005,-359.40100099999995
