,Time,TimeRedundant,X,Y,Z
0,1524373739.523268,1524373739.523268,235.06773399999997,-46.671082,-106.075668
1,1524373739.523307,1524373739.523307,234.618591,-46.444626,-106.146179
2,1524373739.543766,1524373739.543766,235.06912200000002,-46.295975,-106.150681
3,1524373739.543827,1524373739.543827,234.84344500000003,-46.445526,-105.998428
4,1524373739.5643802,1524373739.5643802,236.117538,-46.599899,-105.636169
5,1524373739.564433,1524373739.564433,236.042175,-46.749435,-105.785416
6,1524373739.5847368,1524373739.5847368,236.117279,-46.674896000000004,-105.636169
7,1524373739.584794,1524373739.584794,236.267029,-46.750336,-105.63766499999998
8,1524373739.605223,1524373739.605223,236.11735499999998,-46.674774,-105.71118200000001
9,1524373739.605307,1524373739.605307,236.417923,-46.451019,-105.489182
10,1524373739.628813,1524373739.628813,236.267075,-46.82489,-105.93766799999999
11,1524373739.628887,1524373739.628887,235.816696,-46.824112,-105.558167
12,1524373739.646193,1524373739.646193,236.19311499999998,-46.375458,-105.411926
13,1524373739.646266,1524373739.646266,236.11787400000003,-46.52478,-105.71118200000001
14,1524373739.669308,1524373739.669308,236.19247400000003,-46.60022,-105.56192
15,1524373739.6693869,1524373739.6693869,236.042358,-46.674545,-105.71041899999999
16,1524373739.687683,1524373739.687683,236.043152,-46.449554,-105.710434
17,1524373739.687759,1524373739.687759,236.11787400000003,-46.52478,-105.71118200000001
18,1524373739.707505,1524373739.707505,236.11840800000002,-46.374786,-105.71118200000001
19,1524373739.707541,1524373739.707541,236.117691,-46.450455,-105.261169
20,1524373739.727545,1524373739.727545,236.11840800000002,-46.374786,-105.71118200000001
21,1524373739.727582,1524373739.727582,235.96713300000002,-46.674667,-105.48466499999999
22,1524373739.7480538,1524373739.7480538,236.117233,-46.600342,-105.33616599999999
23,1524373739.748127,1524373739.748127,236.266617,-46.825562,-105.48767099999999
24,1524373739.768459,1524373739.768459,236.04190099999997,-46.675232,-105.260406
25,1524373739.768531,1524373739.768531,236.19236800000002,-46.675003000000004,-105.711929
26,1524373739.788588,1524373739.788588,236.19277999999997,-46.450577,-105.336929
27,1524373739.7886221,1524373739.7886221,235.966904,-46.675003000000004,-105.25965900000001
28,1524373739.809288,1524373739.809288,236.34236099999998,-46.675446,-105.713425
29,1524373739.809361,1524373739.809361,235.967316,-46.599777,-105.409668
30,1524373739.829705,1524373739.829705,235.96656800000002,-46.899322999999995,-105.709671
31,1524373739.829777,1524373739.829777,236.267731,-46.674667,-106.087677
32,1524373739.851741,1524373739.851741,235.892136,-46.674438,-105.48391699999999
33,1524373739.851814,1524373739.851814,235.89190699999997,-46.674774,-105.25891100000001
34,1524373739.870532,1524373739.870532,236.11792000000003,-46.450119,-105.486176
35,1524373739.8706038,1524373739.8706038,235.817657,-46.524231,-105.48317
36,1524373739.890947,1524373739.890947,236.26736499999998,-46.675216999999996,-105.712677
37,1524373739.8910198,1524373739.8910198,235.593185,-46.37355,-105.48092700000001
38,1524373739.9157279,1524373739.9157279,236.11750800000002,-46.674561,-105.861176
39,1524373739.915802,1524373739.915802,235.893112,-46.374557,-105.40892
40,1524373739.931778,1524373739.931778,236.11772200000001,-46.525009000000004,-105.561172
41,1524373739.93185,1524373739.93185,236.193237,-46.44989,-105.786926
42,1524373739.952194,1524373739.952194,235.893005,-46.449341,-105.558929
43,1524373739.952266,1524373739.952266,235.96815499999997,-46.449326,-105.709686
44,1524373739.9727368,1524373739.9727368,235.893005,-46.449341,-105.558929
45,1524373739.97281,1524373739.97281,236.19213900000003,-46.675339,-105.486923
46,1524373739.993165,1524373739.993165,236.11735499999998,-46.674774,-105.71118200000001
47,1524373739.993238,1524373739.993238,236.043442,-46.299896000000004,-105.485428
48,1524373740.033794,1524373740.033794,236.19213900000003,-46.675339,-105.486923
49,1524373740.0339,1524373740.0339,236.19213900000003,-46.675339,-105.486923
50,1524373740.0340948,1524373740.0340948,236.117203,-46.675003000000004,-105.561172
51,1524373740.0341241,1524373740.0341241,236.417542,-46.600784000000004,-105.639175
52,1524373740.054258,1524373740.054258,235.141281,-47.046524,-105.92640700000001
53,1524373740.054315,1524373740.054315,235.068069,-46.595978,-106.150681
