,Time,TimeRedundant,X,Y,Z
0,1524942953.8307061,1524942953.8307061,-0.073364,-0.9845280000000001,-0.146561
1,1524942953.8308241,1524942953.8308241,-0.07867400000000001,-0.9772489999999999,-0.15756199999999998
2,1524942953.831917,1524942953.831917,-0.07498200000000001,-0.981125,-0.156799
3,1524942953.84195,1524942953.84195,-0.072464,-0.984024,-0.161652
4,1524942953.85192,1524942953.85192,-0.07872,-0.999252,-0.156143
5,1524942953.86186,1524942953.86186,-0.07809400000000001,-1.005859,-0.142014
6,1524942953.8717449,1524942953.8717449,-0.073212,-1.005081,-0.14341700000000002
7,1524942953.882645,1524942953.882645,-0.069504,-1.006989,-0.145584
8,1524942953.891917,1524942953.891917,-0.060272000000000006,-1.003723,-0.14476
9,1524942953.901917,1524942953.901917,-0.059891,-0.9917450000000001,-0.145706
10,1524942953.9121811,1524942953.9121811,-0.068359,-0.991577,-0.15213
11,1524942953.922108,1524942953.922108,-0.064499,-0.9886020000000001,-0.150131
12,1524942953.932615,1524942953.932615,-0.071533,-0.988434,-0.15361
13,1524942953.942014,1524942953.942014,-0.076431,-0.9850459999999999,-0.155121
14,1524942953.9519038,1524942953.9519038,-0.07106,-0.9896389999999999,-0.15239
15,1524942953.961969,1524942953.961969,-0.064697,-0.994232,-0.150391
16,1524942953.971966,1524942953.971966,-0.067856,-0.9984129999999999,-0.14799500000000002
17,1524942953.982474,1524942953.982474,-0.0737,-1.00264,-0.144394
18,1524942953.991897,1524942953.991897,-0.069855,-0.999908,-0.141678
19,1524942954.001945,1524942954.001945,-0.070007,-1.002838,-0.147537
20,1524942954.011859,1524942954.011859,-0.065125,-1.000839,-0.15040599999999998
21,1524942954.02205,1524942954.02205,-0.07070900000000001,-0.9942780000000001,-0.15776099999999998
22,1524942954.032377,1524942954.032377,-0.07270800000000001,-0.994308,-0.153885
23,1524942954.041923,1524942954.041923,-0.065353,-0.9979100000000001,-0.153809
24,1524942954.0518632,1524942954.0518632,-0.062851,-0.9912719999999999,-0.16449
25,1524942954.06182,1524942954.06182,-0.065308,-0.987869,-0.166214
26,1524942954.0718849,1524942954.0718849,-0.060927999999999996,-0.989548,-0.163498
27,1524942954.081994,1524942954.081994,-0.051544000000000006,-0.9853059999999999,-0.156342
28,1524942954.091712,1524942954.091712,-0.068802,-0.9945069999999999,-0.152863
29,1524942954.101754,1524942954.101754,-0.088165,-0.986145,-0.151337
30,1524942954.111609,1524942954.111609,-0.10266099999999999,-1.014893,-0.14032
31,1524942954.121773,1524942954.121773,-0.106598,-0.9787290000000001,-0.14541600000000002
32,1524942954.132026,1524942954.132026,-0.046143,-0.973282,-0.147003
33,1524942954.14185,1524942954.14185,-0.062012,-1.006912,-0.161102
34,1524942954.151524,1524942954.151524,-0.07420299999999999,-0.98674,-0.157288
35,1524942954.161602,1524942954.161602,-0.086411,-1.002991,-0.142578
36,1524942954.171605,1524942954.171605,-0.072769,-1.0072780000000001,-0.13708499999999998
37,1524942954.181598,1524942954.181598,-0.065506,-0.9966889999999999,-0.14041099999999998
38,1524942954.1915839,1524942954.1915839,-0.070602,-0.9906159999999999,-0.14801
39,1524942954.201607,1524942954.201607,-0.078079,-0.9882350000000001,-0.157333
40,1524942954.211534,1524942954.211534,-0.068375,-0.992065,-0.15066500000000002
41,1524942954.221593,1524942954.221593,-0.061569000000000006,-0.997391,-0.143295
42,1524942954.231522,1524942954.231522,-0.066635,-1.003296,-0.14335599999999998
43,1524942954.241564,1524942954.241564,-0.06442300000000001,-1.007919,-0.141144
44,1524942954.251442,1524942954.251442,-0.06211900000000001,-0.9969020000000001,-0.137939
45,1524942954.26155,1524942954.26155,-0.06423999999999999,-0.995941,-0.146484
46,1524942954.271369,1524942954.271369,-0.069839,-0.9952549999999999,-0.14752200000000001
47,1524942954.281458,1524942954.281458,-0.075012,-0.989441,-0.147812
48,1524942954.291713,1524942954.291713,-0.06398,-0.9881129999999999,-0.154022
49,1524942954.301478,1524942954.301478,-0.055161,-0.991943,-0.154678
50,1524942954.3113868,1524942954.3113868,-0.057343,-0.991714,-0.155182
51,1524942954.321459,1524942954.321459,-0.06275900000000001,-0.989563,-0.152069
52,1524942954.331409,1524942954.331409,-0.069839,-0.991348,-0.151169
