Time,gX,gY,gZ,aX,aY,aZ,mX,mY,mZ
1524942953.92,0.006512,-0.014819,0.005331,-0.064499,-0.988602,-0.150131,207.006897,-120.018097,-51.945068
1524942953.94,0.005433,-0.012704,0.004262,-0.076431,-0.985046,-0.155121,207.306732,-120.019226,-51.798065
1524942953.97,0.007518,-0.002056,-0.001025,-0.067856,-0.998413,-0.14799500000000002,206.857758,-119.941757,-52.543564
1524942953.99,0.005478,-0.00952,-0.003211,-0.069855,-0.999908,-0.141678,207.081268,-120.243088,-52.09581
1524942954.01,0.003393,-0.02123,0.003141,-0.065125,-1.000839,-0.15040599999999998,206.856857,-120.092316,-52.168564
1524942954.03,0.000271,-0.035077,0.008407,-0.07270800000000001,-0.994308,-0.153885,207.15773,-119.868103,-52.246567
1524942954.05,-0.002928,-0.042545,0.014769,-0.062851,-0.991272,-0.16449,207.156479,-120.093765,-51.796555
1524942954.07,0.000388,-0.057395,0.019007,-0.060928,-0.989548,-0.163498,206.856964,-120.166763,-52.543564
1524942954.09,0.005754,-0.067969,0.027557,-0.068802,-0.994507,-0.152863,207.081085,-120.317978,-52.170807
1524942954.11,0.017532,-0.049799,0.008467,-0.102661,-1.014893,-0.14032,206.857147,-120.091873,-52.46856700000001
1524942954.13,0.026182,-0.022104,-0.027717,-0.046143,-0.973282,-0.147003,206.855804,-120.392319,-52.168549
1524942954.15,0.016905,-0.070025,-0.014087,-0.07420299999999999,-0.98674,-0.157288,206.931702,-120.092758,-52.019302
1524942954.17,0.023301,-0.058277,-0.023616,-0.072769,-1.007278,-0.13708499999999998,206.931671,-120.167435,-52.244308
1524942954.19,0.022984,-0.029571,-0.021355,-0.070602,-0.990616,-0.14801,207.081482,-120.242752,-52.320816
1524942954.21,0.024185,-0.037007,-0.026727,-0.068375,-0.992065,-0.15066500000000002,207.082047,-120.018097,-52.09581
1524942954.23,0.017802000000000002,-0.042382,-0.024657,-0.066635,-1.003296,-0.14335599999999998,207.306702,-120.093887,-52.023056
1524942954.25,0.013502000000000002,-0.04667,-0.018288,-0.062119000000000014,-0.996902,-0.137939,207.082245,-119.943207,-52.020813
1524942954.27,0.008001000000000001,-0.038211,-0.011874,-0.069839,-0.995255,-0.147522,207.08168,-120.167877,-52.245819
1524942954.29,0.005764,-0.029725,-0.010783,-0.06398,-0.988113,-0.154022,207.08168,-120.167877,-52.245819
1524942954.31,0.004516,-0.026535000000000003,0.0031260000000000003,-0.057343,-0.991714,-0.155182,207.157013,-119.943771,-51.79657
1524942954.33,0.00435,-0.021212,0.013844,-0.069839,-0.991348,-0.151169,207.156891,-120.018555,-51.946564
1524942954.35,0.006446,-0.013752,0.010683,-0.066162,-0.995468,-0.14918499999999998,207.380936,-120.319092,-52.023804
1524942954.37,0.007416,-0.007361,0.013926,-0.068848,-0.998672,-0.145813,207.156738,-120.167984,-52.321564
1524942954.39,0.006379,-0.012685,0.016035,-0.07281499999999999,-0.994064,-0.143646,207.156189,-120.243423,-52.021561
1524942954.41,0.005343,-0.012697,0.012819,-0.071777,-0.995026,-0.149002,207.007004,-120.092529,-52.320068
1524942954.44,0.002279,-0.019112,0.005282,-0.079422,-0.984344,-0.150528,207.006897,-120.018097,-51.945068
1524942954.46,0.004497,-0.014847999999999997,-0.00645,-0.07518,-0.989441,-0.154388,206.856598,-120.167328,-52.168564
